boliga_id;address1;address2;zipcode;list_price;living_area;lot_area;rooms;floors;construction_date;energy_rating;taxes_pr_month;bsmnt_area;station_dist_km;created_date;market_days;url;gmaps
1691068;Melchiorsvej 30; 3450 Allerød;3450;6375000.0;168.0;1012.0;6.0;0.0;1996.0;C;5270.0;94.0;0,64;2020-08-07;184;https://www.boliga.dk/bolig/1691068;https://maps.google.com/?q=55.877996,12.356511
1690784;Kongens Vænge 189A; 3400 Hillerød;3400;4795000.0;205.0;876.0;5.0;0.0;1988.0;C;4315.0;0.0;;2020-08-06 00:00:00;185;https://www.boliga.dk/bolig/1690784;https://maps.google.com/?q=55.938841,12.350323
1689958;Kirkebroen 10; 2650 Hvidovre;2650;7495000.0;200.0;674.0;5.0;0.0;1926.0;A20;4880.0;0.0;;2020-08-04 00:00:00;187;https://www.boliga.dk/bolig/1689958;https://maps.google.com/?q=55.658142,12.468339
1689369;Vedbæk Strandvej 497; 2950 Vedbæk;2950;7695000.0;176.0;1232.0;6.0;0.0;1945.0;E;8456.0;98.0;;2020-08-01 00:00:00;190;https://www.boliga.dk/bolig/1689369;https://maps.google.com/?q=55.860874,12.560068
1689322;Tornerosevej 90A; 2730 Herlev;2730;5475000.0;156.0;565.0;4.0;0.0;2017.0;A15;3664.0;0.0;;2020-07-31 00:00:00;191;https://www.boliga.dk/bolig/1689322;https://maps.google.com/?q=55.730233,12.447539
1688427;Gammel Lundtoftevej 42; 2800 Kongens Lyngby;2800;4675000.0;107.0;258.0;6.0;0.0;1808.0;D;4162.0;0.0;1.07;2020-07-29 00:00:00;193;https://www.boliga.dk/bolig/1688427;https://maps.google.com/?q=55.777702,12.506541
1688541;Rosendalsvej 6A; 2665 Vallensbæk Strand;2665;5995000.0;170.0;511.0;5.0;0.0;2017.0;A10;4452.0;0.0;;2020-07-29 00:00:00;193;https://www.boliga.dk/bolig/1688541;https://maps.google.com/?q=55.618308,12.381219
1688025;Brådebæksvej 35; 2970 Hørsholm;2970;5333333.0;179.0;1224.0;5.0;0.0;2003.0;D;5521.0;0.0;;2020-07-27 00:00:00;195;https://www.boliga.dk/bolig/1688025;https://maps.google.com/?q=55.865706,12.486999
1687858;Tingstenen 4; 2640 Hedehusene;2640;2895000.0;100.0;705.0;4.0;0.0;1983.0;D;3057.0;0.0;;2020-07-26 00:00:00;196;https://www.boliga.dk/bolig/1687858;https://maps.google.com/?q=55.619809,12.188984
1687692;Reerslevvej 72; 2640 Hedehusene;2640;4495000.0;144.0;1061.0;6.0;0.0;1912.0;E;3509.0;0.0;;2020-07-25 00:00:00;197;https://www.boliga.dk/bolig/1687692;https://maps.google.com/?q=55.643641,12.19507
1687517;Nygårdsvej 28; 2750 Ballerup;2750;2950000.0;125.0;648.0;5.0;0.0;1943.0;F;3600.0;6.0;;2020-07-24 00:00:00;198;https://www.boliga.dk/bolig/1687517;https://maps.google.com/?q=56.364491,10.741641
1687349;Snogegårdsvej 147; 2860 Søborg;2860;4875000.0;115.0;965.0;5.0;0.0;1937.0;C;4498.0;75.0;;2020-07-24 00:00:00;198;https://www.boliga.dk/bolig/1687349;https://maps.google.com/?q=55.750158,12.497479
1686970;Landsebakken 2; 2840 Holte;2840;6695000.0;187.0;1757.0;6.0;0.0;1956.0;F;8135.0;119.0;;2020-07-24 00:00:00;198;https://www.boliga.dk/bolig/1686970;https://maps.google.com/?q=55.81979,12.470621
1685601;Abildgårdsparken 12; 3460 Birkerød;3460;5995000.0;180.0;1640.0;11.0;0.0;1969.0;E;6380.0;198.0;1.78;2020-07-22 00:00:00;200;https://www.boliga.dk/bolig/1685601;https://maps.google.com/?q=55.824688,12.421096
1685481;Schimmelmannsvej 17C; 2930 Klampenborg;2930;18800000.0;248.0;1509.0;5.0;0.0;2009.0;A20;14158.0;126.0;;2020-07-21 00:00:00;201;https://www.boliga.dk/bolig/1685481;https://maps.google.com/?q=55.768675,12.58451
1685209;Bjerrelide 9; 2920 Charlottenlund;2920;9500000.0;143.0;524.0;4.0;0.0;1974.0;D;10153.0;105.0;;2020-07-20 00:00:00;202;https://www.boliga.dk/bolig/1685209;https://maps.google.com/?q=55.76271,12.560273
